t,value
1622168420,5996@MSI
1622168944,10452@MSI
1622169869,14376@MSI
1622169943,13964@MSI
1622170003,13964@MSI
1622170063,13964@MSI
1622170219,8892@MSI
1622170322,10816@MSI
1622170464,1156@MSI
