t,value
1622168420,7103448
1622168944,7085384
1622169869,7222048
1622169943,7256480
1622170003,7256480
1622170063,7256480
1622170219,7251904
1622170322,7259416
1622170464,7235712
1622170524,7235712
1622170584,7235712
1622170644,7235712
1622170704,7235712
1622170863,7250600
