t,value
1622168420,30
1622168944,34
1622169869,36
1622169943,29
1622170003,29
1622170063,49
1622170219,29
1622170322,35
1622170464,29
1622170524,29
1622170584,53
1622170644,53
1622170704,53
1622170863,38
