t,value
1622168420,26
1622168944,26
1622169869,24
1622169943,27
1622170003,27
1622170063,29
1622170219,24
1622170322,25
1622170464,25
1622170524,25
1622170584,25
1622170644,25
1622170704,25
1622170863,24
