t,value
1622168420,1405091840
1622168944,1405091840
1622169869,1405091840
1622169943,1405091840
1622170003,1405091840
1622170063,1405091840
1622170219,1405091840
1622170322,1405091840
1622170464,1405091840
1622170524,1405091840
1622170584,1405091840
1622170644,1405091840
1622170704,1405091840
1622170863,1405091840
