t,value
1622168420,251658240
1622168944,251658240
1622169869,251658240
1622169943,251658240
1622170003,251658240
1622170063,251658240
1622170219,251658240
1622170322,251658240
1622170464,251658240
1622170524,251658240
1622170584,251658240
1622170644,251658240
1622170704,251658240
1622170863,251658240
