t,value
1622168420,6
1622168944,6
1622169869,5
1622169943,7
1622170003,8
1622170063,7
1622170219,5
1622170322,5
1622170464,5
1622170524,6
1622170584,6
1622170644,6
1622170704,6
1622170863,5
